"","T0","T1","T2","T4","T5","T6","T7","T8"
"PANK4",4454.93333333333,4283.73333333333,2948.83333333333,2965.4,3055.23333333333,3123.06666666667,3221,2721.23333333333
"PANX1",11490.4333333333,11813.3,13080.4666666667,14814.3333333333,20044,20003,25222,25690
"PAPD4",4743.81,4879.26666666667,4336.81,4252.78666666667,4913.03666666667,5292,5093.36666666667,5292.59666666667
"PAPD5",17113,16760.3333333333,17312.3333333333,7641.06666666667,9146.23333333333,9641.66666666667,10016.7333333333,10218.3666666667
"PAPSS1",9315.66666666667,9805.63333333333,9671.8,9811.36666666667,11298.0333333333,8935.9,10010.5666666667,10145.6666666667
"PAQR7",609.333333333333,658.246666666667,574.233333333333,825.633333333333,708.933333333333,581.313333333333,510.14,765.143333333333
"PARD3",40490.3333333333,42108.6666666667,42523,35255.3333333333,36703.3333333333,37053.3333333333,38788,38228.3333333333
"PARD6G",10873.2666666667,11274.0666666667,11198.0333333333,10618.1666666667,12283.1333333333,11090.6333333333,13116,10432.2
"PARK7",180590,187083.333333333,177963.333333333,108838,112000.666666667,99201.6666666667,94722,91382.3333333333
"PARL",38966,28984,31621.3333333333,27415,32797.6666666667,20620,20723.3333333333,19291.6666666667
"PARN",62918.3333333333,61568,62547.6666666667,47345.6666666667,49475.6666666667,44224,45683,40246.6666666667
"PARP1",276246.666666667,296700,313823.333333333,203703.333333333,217153.333333333,213896.666666667,245176.666666667,221923.333333333
"PARP12",17373.6666666667,16939.1,16988.8,24663.3333333333,26035,19675.0333333333,23514,19721
"PARP14",19755.3333333333,21143.3333333333,19820.9333333333,20654.4,19554.5666666667,17645.1333333333,17943.1666666667,16183.2333333333
"PARP16",3798.5,5975.7,4919.1,3874.2,3111.93333333333,4301.03333333333,4456.43333333333,3600.3
"PARP4",83182,82032,75807.3333333333,66819.3333333333,73974,61914.6666666667,62584.6666666667,59037.3333333333
"PARP9",49347.6666666667,50366,42883,57655.6666666667,63731.6666666667,53024.3333333333,56941.6666666667,47899.6666666667
"PARS2",21826.3333333333,27642.3333333333,26468,12600.8333333333,14209.1666666667,12770.9333333333,13418.6333333333,12000.6
"PARVA",14068.3333333333,14015,14561.6666666667,17057,20312.3333333333,20235,19166.6666666667,19847.6666666667
"PATL1",474.946666666667,462.99,375.066666666667,282.64,211.98,430.71,322.716666666667,253.23
"PAWR",12733.3,12670.7666666667,12996.3,19390.6666666667,23615.3333333333,25269.3333333333,30911,29520.3333333333
"PAXBP1",31676,32375.3333333333,31882.3333333333,32023,35220.6666666667,35961,38078.3333333333,39397.3333333333
"PAXIP1",1064.72,1300.1,1124.76666666667,932.933333333333,1121.7,922.3,786.3,1278.56666666667
"PBDC1",3368.83333333333,3546.06666666667,3520.69666666667,2659.26666666667,2451.06666666667,1872.17,2781.03333333333,2132.15
"PBRM1",144936.666666667,156320,161226.666666667,131420,140993.333333333,131053.333333333,139433.333333333,120546.666666667
"PBXIP1",64912,68314.6666666667,69754.3333333333,115292.666666667,138203.333333333,134230,142666.666666667,138960
"PC",179393.333333333,196756.666666667,189400,133730,135676.666666667,121360,121436.666666667,110407.666666667
"PCBD1",3779.06666666667,4059.73333333333,3874.03333333333,3888.2,4453.13333333333,4502.63333333333,3192.53333333333,3695.5
"PCBD2",39883,40672.6666666667,39524,24068,23310.6666666667,25865.6666666667,24783.9333333333,24650
"PCBP1",156846.666666667,138890,121593.333333333,79445.6666666667,89904.6666666667,83825.3333333333,80321.6666666667,85509.3333333333
"PCBP2;PCBP3",25850,26069.3333333333,23879,19425.3333333333,19989.6666666667,19519.6666666667,20741.3333333333,21344
"PCBP3",1433.64666666667,2230.01666666667,2193.43333333333,1384.29,1732.68,1123.75333333333,1722.81666666667,1210.2
"PCCA",102695.666666667,116418,109995,86159.6666666667,85618,76548.6666666667,76782.6666666667,65142.3333333333
"PCCB",142433.333333333,162220,145456.666666667,123723.333333333,125583.333333333,98909.3333333333,100989,87803
"PCDH1",8904.33833333333,9611.67333333333,9383.40166666667,9915.19333333333,11006.53,10547.285,10598.5066666667,10226.9483333333
"PCDH7",1809.46666666667,1862.16666666667,1978.23333333333,1712.7,1747.76666666667,2440.73333333333,1759.5,2257.1
"PCDH9",4358.8,4352.5,5044.4,6253.73333333333,5505.53333333333,5881.9,5745.63333333333,6214.8
"PCDHA13",1667.97333333333,1689.54,2000.56666666667,2420.56666666667,2619.23333333333,2665.8,3336.93333333333,2852.56666666667
"PCDHB3",5659.33333333333,5364.9,5927.46666666667,4647.43333333333,5124.2,6293.93333333333,6355.53333333333,6440.13333333333
"PCF11",15159.4666666667,20103.6666666667,17927.0666666667,16285.0333333333,14677.6333333333,19122.7,22704.8,16722.7
"PCGF5",296.003333333333,214.49,152.306666666667,268.946666666667,241.04,246.493333333333,141.64,147.98
"PCID2",20283.6666666667,22872,21835.6666666667,19648.6666666667,20912.6666666667,17725.4,20104.6666666667,18160.2
"PCK2",118148.666666667,133737.333333333,122162.666666667,78236,80914,74885.3333333333,79412,78896
"PCM1",51005.4733333333,45541.8383333333,50637.8166666667,28956.76,31745.59,33675.3866666667,35046.5733333333,37105.495
"PCMT1",50212.3333333333,55810.6666666667,53984,20700.6666666667,25042,27472,24994.6666666667,28919.3333333333
"PCMTD1",11402.4866666667,9363.32333333333,11521.04,5578.33666666667,6415.31,7289.40666666667,6700.50666666667,6432.2
"PCNA",10270.9,9371.73333333333,8912.9,7453.23333333333,8260.76666666667,9393,12538.9666666667,12820.1333333333
"PCNP",35077.3333333333,39731.6666666667,35800.3333333333,37151.3333333333,37779.3333333333,30805,37343.3333333333,28696
"PCNT",95314.3333333333,100141.666666667,97275.6666666667,62126.3333333333,61438.6666666667,70364.3333333333,63381,71026.6666666667
"PCNXL3",3180.52333333333,3618.65,3103.72666666667,3169.33,3441.10666666667,4108.71333333333,4109.68333333333,3931.96
"PCYOX1",87991.6666666667,100862.666666667,97409,77154.3333333333,86576.3333333333,82751,91452.3333333333,80496
"PCYOX1L",10632.3333333333,13369.3333333333,11767.6666666667,10992.6666666667,12634.6666666667,11290.3333333333,11735.3333333333,9535.33333333333
"PCYT1A",72519,66018,62662.3333333333,63063.3333333333,69580,53782.3333333333,58658.6666666667,56218.6666666667
"PCYT2",7835.66666666667,6057.5,5140.56666666667,2776.13333333333,3213.5,4097.33333333333,3928.76666666667,4323.26666666667
"PDAP1",25562,24672.6666666667,23264,20819,20011.3333333333,15485,17696.3333333333,13772
"PDCD10",7102.96666666667,7283.43,7184.89333333333,6355.65666666667,6413.48333333333,5356.71333333333,6013.92333333333,4808.97666666667
"PDCD11",248253.333333333,277316.666666667,262556.666666667,158256.666666667,162656.666666667,150613.333333333,156556.666666667,151820
"PDCD4",44621,34896.3333333333,37933.6666666667,27373.6666666667,22823,23428.6666666667,25085,22348.3333333333
"PDCD6",91663,70893.6666666667,63360.3333333333,52424.6666666667,49737.6666666667,47082.3333333333,47465.6666666667,44519.3333333333
"PDCD6IP",147882.666666667,133343.666666667,122341,112204.666666667,122992.666666667,103560,107334.666666667,97611
"PDCD7",7405.13333333333,7343.03333333333,7324,5517.23333333333,6258.36666666667,7713.03333333333,8253.9,8367.46666666667
"PDE12",55196.6666666667,59393.3333333333,53027.3333333333,43187.6666666667,49213,45332.6666666667,49563.3333333333,47956.6666666667
"PDE4D",2269.7,2007.86666666667,2151.83333333333,637.8,786.683333333333,900.633333333333,822.29,1002.76666666667
"PDE4DIP",6228.56666666667,6065.16666666667,5951.2,7902.1,7731.43333333333,6568.13333333333,6181.16666666667,6048.66666666667
"PDE6D",1132.02666666667,842.273333333333,950.91,939.836666666667,1021.59,1157.3,972.663333333333,1096.05333333333
"PDE7A",2007.5,2051.23333333333,2066.9,1874.96666666667,1847.23333333333,1874.66666666667,1959.03333333333,1883.76666666667
"PDE8A",1605.95,1393.97666666667,1278.75,1625.35333333333,1374.43666666667,1245.38333333333,1147.17,1039.69
"PDF",14903.9333333333,16247.6666666667,14874.3333333333,13023.0666666667,12621.6666666667,11271.5666666667,12031.2333333333,10653.4666666667
"PDHA1",208280,221283.333333333,212313.333333333,173776.666666667,181720,163710,169290,157340
"PDHB",141186.666666667,151206.666666667,147403.333333333,134350,140326.666666667,113940,126260.333333333,111471.333333333
"PDHX",131040,144513.333333333,134123.333333333,87384.3333333333,90924,90471,89625,82375.6666666667
